FACTResultID,MakeID,AgeID,MileageID,CylinderCapacityID,Result
290326827,508,3,6,1119,1
290326828,63,4,4,310,1
290326834,311,3,6,1085,1
290326835,109,3,4,1434,1
290326837,63,3,5,3046,1
290326841,160,3,4,1056,1
290326843,420,3,4,7351,1
290326844,63,3,6,512,1
290326847,462,3,5,2010,1
290326850,469,3,4,1533,1
290326856,311,3,4,2129,1
290326858,216,3,5,310,1
290326860,508,3,4,1104,1
290326863,311,3,6,2129,1
290326866,164,5,5,4767,1
290326867,508,3,5,1056,1
290326870,508,2,6,1119,1
290326872,420,3,3,4078,1
290326874,469,3,1,6465,1
290326875,508,3,2,5416,1
290326877,276,4,2,1434,1
290326878,63,3,4,512,1
290326882,63,3,3,310,1
290326885,469,3,4,1434,1
290326888,103,3,3,1533,1
290326890,250,3,3,54,1
290326891,503,3,4,4323,1
290326892,508,3,4,310,1
290326894,109,3,1,1868,1
290326896,39,3,5,5359,1
290326898,103,3,5,1533,1
290326903,141,3,4,1434,1
290326905,250,3,2,5942,1
290326907,63,2,5,7744,1
290326908,109,3,4,7744,1
290326909,183,3,4,1056,1
290326910,7,3,5,3752,1
290326911,63,3,3,5236,1
290326913,39,3,5,5359,1
290326915,49,4,2,7744,1
290326916,267,3,3,1434,1
290326917,392,3,5,512,1
290326920,323,3,4,1434,1
290326921,392,3,3,3383,1
290326922,268,3,4,5151,1
290326925,474,3,4,325,1
290326926,109,3,4,1434,1
290326929,311,3,5,2129,1
290326930,311,3,4,2129,1
290326932,63,3,6,310,1
290326934,63,3,4,6421,1
290326938,250,3,4,1441,1
290326941,103,3,4,7828,1
290326947,529,3,6,1591,1
290326949,7,3,2,4761,1
290326957,63,3,5,1796,1
290326966,109,3,5,7744,1
290326968,311,3,5,5103,1
290326969,309,3,3,7430,1
290326973,311,3,4,315,1
290326976,63,3,4,310,1
290326978,311,3,3,7681,1
290326979,63,3,3,310,1
290326984,103,3,3,3682,1
290326988,311,3,3,2129,1
290326989,63,3,3,7657,1
290326993,39,3,3,4323,1
290326995,7,3,4,4812,1
290326996,250,3,1,5997,1
290326997,39,3,5,1533,1
290326998,311,3,3,3752,1
290327000,291,3,2,6279,1
290327001,103,3,3,3682,1
290327005,250,4,4,5311,1
290327011,103,4,2,3682,1
290327012,276,4,3,1434,1
290327015,49,4,4,33,1
290327017,63,3,6,4348,1
290327025,276,3,5,4775,1
290327027,276,3,4,4920,1
290327028,183,3,2,6887,1
290327030,109,3,5,1434,1
290327032,545,3,3,5447,1
290327034,183,3,4,1434,1
290327036,311,2,2,2129,1
290327040,103,3,4,3682,1
290327045,508,3,3,7477,1
290327051,484,3,2,1412,1
290327052,103,3,3,512,1
290327061,63,3,3,7744,1
290327062,81,3,3,325,1
290327064,267,3,6,310,1
290327070,469,3,5,4775,1
290327075,63,3,5,512,1
290327080,250,3,2,7670,1
290327082,63,3,4,1343,1
290327086,545,3,5,5447,1
290327087,276,3,4,1056,1
290327089,469,3,4,6862,1
290327095,420,3,2,1434,1
290327096,160,3,3,2985,1
290327098,469,3,5,512,1
290327103,147,3,2,5026,1
290327104,311,3,5,3732,1
290327105,311,3,4,5103,1
290327110,311,3,4,1026,1
290327111,7,3,3,512,1
290327119,309,3,2,7430,1
290327120,508,2,1,2972,1
290327123,63,3,3,310,1
290327128,63,3,4,3046,1
290327129,63,3,6,310,1
290327131,63,3,5,310,1
290327137,109,3,3,1868,1
290327141,7,3,4,5497,1
290327146,7,3,3,4761,1
290327151,469,3,3,4775,1
290327157,63,3,4,5236,1
290327160,7,2,3,4767,1
290327163,276,3,4,1056,1
290327164,7,3,4,5497,1
290327165,7,3,4,2010,1
290327166,7,2,5,5497,1
290327167,250,3,4,7670,1
290327169,474,3,4,2353,1
290327171,109,3,5,1868,1
290327173,529,3,2,5065,1
290327182,469,3,4,4775,1
290327184,63,3,3,3046,1
290327185,287,3,2,2525,1
290327188,49,3,3,33,1
290327190,276,3,4,1533,1
290327194,63,3,5,6421,1
290327196,276,3,6,4775,1
290327198,276,3,3,1056,1
290327203,63,3,3,310,1
290327207,7,3,3,1303,1
290327209,7,3,4,512,1
290327211,323,3,3,1434,1
290327214,276,3,5,5373,1
290327216,287,3,1,2525,1
290327219,63,3,4,310,1
290327220,508,3,5,5236,1
290327222,508,3,2,3619,1
290327230,88,2,3,7670,1
290327231,529,3,4,5065,1
290327234,311,3,4,3752,1
290327241,276,3,5,1434,1
290327244,311,3,5,2129,1
290327245,216,3,3,1434,1
290327246,462,3,1,4767,1
290327247,508,3,4,1056,1
290327249,168,3,6,2763,1
290327259,355,3,3,1434,1
290327263,503,3,3,6240,1
290327267,311,3,4,2200,1
290327273,276,3,4,3975,1
290327274,311,3,5,5103,1
290327275,313,3,4,4874,1
290327279,420,3,3,1434,1
290327281,311,3,3,3732,1
290327282,508,3,3,512,1
290327283,63,4,4,1434,1
290327284,267,3,5,310,1
290327287,164,3,3,2508,1
290327292,503,3,4,4323,1
290327294,22,3,2,4293,1
290327296,311,3,4,980,1
290327298,81,3,4,2597,1
290327300,503,3,3,5359,1
290327302,503,3,4,2717,1
290327304,311,3,6,5103,1
290327305,216,3,3,310,1
290327307,103,3,3,6142,1
290327309,469,3,4,1434,1
290327310,250,2,4,7670,1
290327311,508,3,4,5359,1
290327313,392,3,5,4348,1
290327316,484,1,1,1085,1
290327319,545,4,2,4316,1
290327327,183,3,3,1078,1
290327330,250,3,4,7670,1
290327331,311,3,3,3732,1
290327332,49,3,3,1434,1
290327333,164,3,5,2317,1
290327338,508,3,4,5416,1
290327341,323,3,3,1434,1
290327345,109,3,5,2519,1
290327348,267,3,4,310,1
290327355,103,3,3,1868,1
290327358,311,3,3,3732,1
290327364,311,3,3,3732,1
290327366,392,3,1,5439,1
290327367,311,3,4,3732,1
290327370,109,3,5,1434,1
290327371,81,3,4,5416,1
290327373,81,3,3,512,1
290327376,311,3,3,3732,1
290327379,313,3,5,6755,1
290327382,109,3,4,1434,1
290327384,469,3,4,1104,1
290327387,469,3,3,4078,1
290327390,469,3,2,1434,1
290327393,311,3,6,1672,1
290327396,250,3,2,1056,1
290327397,311,3,5,5170,1
290327398,508,3,5,5359,1
290327400,160,3,3,6987,1
290327401,103,3,3,2237,1
290327402,311,3,4,2129,1
290327407,276,3,5,399,1
290327408,484,3,2,7085,1
290327413,508,3,5,5416,1
290327417,63,3,3,310,1
290327419,508,3,4,1119,1
290327422,7,3,3,7533,1
290327423,508,3,2,7477,1
290327425,250,3,2,315,1
290327426,508,3,2,5416,1
290327427,183,3,3,1078,1
290327429,276,3,2,7828,1
290327430,250,3,2,3924,1
290327433,7,3,4,5497,1
290327435,311,3,5,2129,1
290327436,39,3,3,171,1
290327437,216,3,5,310,1
290327439,311,3,5,2129,1
290327452,311,3,5,2129,1
290327454,508,3,3,5236,1
290327455,508,3,6,921,1
290327456,160,2,1,1056,1
290327458,216,2,4,4348,1
290327459,103,3,4,3682,1
290327466,109,3,6,1868,1
290327468,168,3,1,670,1
290327471,103,3,1,1441,1
290327474,503,3,3,795,1
290327478,508,3,4,3055,1
290327483,7,2,4,5236,1
290327484,503,3,5,4323,1
290327496,216,3,4,512,1
290327498,323,3,2,1434,1
290327499,63,3,4,7744,1
290327501,63,3,5,3046,1
290327504,276,3,5,6135,1
290327505,276,3,5,6135,1
290327508,311,3,4,1026,1
290327509,276,3,5,1394,1
290327511,508,3,4,2763,1
290327513,168,3,4,2763,1
290327514,109,4,3,1868,1
290327518,313,3,4,6755,1
290327519,39,3,4,5359,1
290327520,63,3,3,310,1
290327521,7,3,3,5497,1
290327522,508,3,3,3619,1
290327524,420,3,3,4078,1
290327529,420,3,2,4078,1
290327531,311,3,4,2129,1
290327534,250,2,5,3505,1
290327542,250,2,6,5622,1
290327543,63,3,4,310,1
290327545,311,3,4,2129,1
290327549,103,3,6,7086,1
290327551,313,3,5,2497,1
290327552,63,3,3,711,1
290327554,39,3,4,3587,1
290327558,81,3,1,512,1
290327561,81,2,1,2597,1
290327563,250,2,4,1056,1
290327565,529,2,2,315,1
290327567,276,2,4,5373,1
290327568,216,2,3,1463,1
290327570,508,2,5,4920,1
290327573,313,2,5,1490,1
290327575,7,2,3,4812,1
290327580,216,2,3,1078,1
290327581,7,2,2,5497,1
290327583,276,2,3,4775,1
290327584,63,2,4,512,1
290327586,311,2,2,1672,1
290327589,216,2,3,644,1
290327591,313,3,5,6755,1
290327593,469,2,4,4767,1
290327595,7,2,4,5497,1
290327599,103,2,2,1434,1
290327600,508,2,3,921,1
290327602,109,2,2,1868,1
290327603,260,3,1,5974,1
290327605,276,2,4,3975,1
290327623,545,4,3,5497,1
290327625,216,4,3,4849,1
290327629,141,2,2,1591,1
290327634,7,2,2,208,1
290327635,63,2,3,3046,1
290327638,474,2,5,1056,1
290327639,63,2,3,310,1
290327644,469,2,4,1434,1
290327647,503,2,2,5359,1
290327649,508,2,5,1119,1
290327652,484,2,4,1078,1
290327658,160,2,2,4500,1
290327659,311,2,4,512,1
290327660,276,2,3,512,1
290327661,311,2,3,2129,1
290327666,311,2,5,2129,1
290327667,160,2,2,6240,1
290327676,7,2,2,208,1
290327677,63,2,4,1137,1
290327679,469,2,3,644,1
290327681,103,2,3,1434,1
290327685,63,2,5,310,1
290327688,7,2,3,4812,1
290327690,63,2,3,3046,1
290327692,311,2,3,3732,1
290327693,216,2,3,512,1
290327697,508,2,2,1394,1
290327704,63,2,4,310,1
290327711,508,2,1,4920,1
290327714,276,2,5,931,1
290327717,63,2,5,7744,1
290327719,160,2,3,6987,1
290327720,323,2,3,3587,1
290327722,276,2,1,1434,1
290327725,469,2,3,644,1
290327726,508,2,3,7477,1
290327727,462,2,3,4751,1
290327728,311,2,3,3732,1
290327729,529,2,1,3417,1
290327730,276,2,4,1434,1
290327732,63,2,4,310,1
290327734,508,2,4,7477,1
290327735,508,2,3,1119,1
290327738,160,2,1,2367,1
290327740,420,2,2,6862,1
290327744,484,2,1,1078,1
290327745,420,2,3,6862,1
290327746,392,2,5,5439,1
290327748,63,2,4,310,1
290327750,63,2,5,310,1
290327752,7,2,4,5497,1
290327756,311,2,3,2129,1
290327759,311,2,2,2129,1
290327763,420,2,2,6862,1
290327764,420,2,2,512,1
290327766,39,2,1,1033,1
290327767,311,2,5,2129,1
290327768,503,2,1,1533,1
290327770,323,2,1,1434,1
290327772,508,6,1,7322,1
290327780,276,2,1,399,1
290327783,250,5,5,2585,1
290327789,392,2,2,4371,1
290327794,103,2,2,6240,1
290327796,267,2,3,7744,1
290327798,276,2,1,4865,1
290327800,103,2,3,1591,1
290327805,103,2,2,6240,1
290327806,39,3,3,512,1
290327810,63,2,3,3046,1
290327811,508,2,2,5416,1
290327815,216,2,3,4348,1
290327816,309,2,3,7040,1
290327818,508,2,3,512,1
290327819,81,2,1,5608,1
290327820,267,2,3,4348,1
290327824,508,4,4,1056,1
290327825,39,4,4,6240,1
290327828,63,3,5,4348,1
290327832,63,3,3,4348,1
290327835,250,4,5,3505,1
290327837,276,2,2,4775,1
290327839,311,2,4,2129,1
290327842,81,2,3,5608,1
290327843,250,3,4,7670,1
290327844,250,2,2,315,1
290327845,392,3,3,5439,1
290327846,311,3,4,3732,1
290327847,39,3,1,5009,1
290327848,276,2,3,5373,1
290327849,63,2,2,7040,1
290327850,250,2,4,3505,1
290327851,503,2,3,5359,1
290327852,311,3,1,3732,1
290327853,216,3,3,1281,1
290327854,260,3,3,711,1
290327855,260,4,2,2911,1
290327856,250,6,5,7910,1
290327857,250,6,5,7910,0
290327858,392,3,3,5439,1
290327859,392,3,3,5439,1
290327861,250,4,4,3505,1
290327866,313,4,3,1490,1
290327867,313,3,4,399,1
290327868,250,4,1,5311,1
290327869,250,4,2,2596,1
290327870,508,3,1,315,1
290327872,355,5,3,4673,1
290327877,309,3,3,7040,1
290327879,250,4,4,2816,1
290327880,250,4,4,2816,0
290327881,250,3,2,3505,1
290327882,309,4,5,7040,1
290327883,63,3,1,7744,1
290327884,250,3,2,54,1
290327885,291,2,2,731,1
290327886,250,4,2,315,1
290327887,7,3,2,2353,1
290327888,268,2,1,4570,1
290327889,250,4,3,1056,1
290327890,88,3,2,731,1
290327891,7,2,1,5497,1
290327892,529,2,2,6725,1
290327893,160,4,1,611,1
290327894,287,6,5,591,1
290327896,260,2,1,5030,1
290327897,484,3,4,7991,1
290327898,484,3,4,7991,0
290327899,309,3,4,7430,1
290327900,508,2,2,7477,1
290327901,250,4,3,1984,1
290327902,63,3,2,310,1
290327903,311,3,3,3732,1
290327904,355,2,3,4409,1
290327907,250,3,2,5997,1
290327908,250,3,2,5997,0
290327909,250,4,2,5311,1
290327910,250,4,2,5311,0
290327911,63,4,4,3268,1
290327913,7,2,1,5497,1
290327914,309,3,2,7430,1
290327915,309,3,2,7430,0
290327917,462,2,1,3055,1
290327918,309,4,3,5469,1
290327919,309,4,3,5469,0
290327920,311,2,2,1672,1
290327921,528,4,3,2367,1
290327922,313,5,5,6293,1
290327923,313,5,5,6293,0
290327924,63,5,2,310,1
290327925,250,4,2,5311,1
290327926,109,3,2,1868,1
290327928,250,2,3,3505,1
290327929,160,4,4,3957,1
290327930,7,5,5,1591,1
290327931,81,3,2,5416,1
290327932,291,3,3,7897,1
290327933,291,3,3,7897,0
290327934,7,2,2,4812,1
290327935,474,3,3,325,1
290327937,260,5,2,5170,1
290327938,250,5,3,167,1
290327939,311,3,4,2958,1
290327940,311,3,4,2958,0
290327941,503,3,2,6240,1
290327942,412,2,1,1376,1
290327943,81,2,1,6862,1
290327944,216,4,4,711,1
290327945,216,4,4,711,0
290327946,160,2,1,4776,1
290327947,160,4,3,3957,1
290327948,160,4,3,3957,0
290327949,420,4,3,315,1
290327950,309,3,2,1056,1
290327951,309,3,2,1056,0
290327952,311,3,2,7430,1
290327954,309,2,1,2129,1
290327955,503,2,1,5359,1
290327956,309,2,1,7454,1
290327957,103,2,3,2221,1
290327958,250,4,3,315,1
290327959,250,4,3,315,0
290327960,420,3,1,1104,1
290327962,250,4,5,2596,1
290327963,484,4,3,7991,1
290327964,260,2,1,5974,1
290327965,250,5,5,1056,1
290327966,207,6,3,6171,1
290327967,207,6,1,6171,1
290327968,508,4,3,2763,1
290327969,216,4,4,7744,1
290327970,216,4,5,310,1
290327971,216,2,3,310,1
290327974,109,4,3,975,1
290327976,63,4,3,3268,1
290327977,63,4,3,3268,1
290327978,484,3,3,7991,1
290327980,160,3,2,4500,1
290327981,287,5,2,591,1
290327982,250,2,1,3505,1
290327983,508,2,1,4318,1
290327984,63,2,3,7040,1
290327985,311,2,2,1672,1
290327986,311,3,2,1672,1
290327987,311,3,2,1672,0
290327988,267,2,2,4348,1
290327989,250,2,2,7670,1
290327990,250,2,2,7670,1
290327991,7,5,5,4804,1
290327993,7,3,3,2010,1
290327994,309,5,2,2620,1
